estimated_occupancy_rate
4.83
5.76
6.040000000000001
7.449999999999999
7.2484
6.0118
2.25
6.710000000000001
11.0312
2.35
7.62
7.9194
7.2912
6.4
4.630000000000001
4.697000000000001
10.86
7.239999999999999
7.510000000000001
5.87
6.786200000000001
7.02
3.9974
5.750000000000001
9.95
6.9524
6.34
6.990000000000001
7.76
6.55
4.760000000000001
7.29
9.1146
8.59
4.340000000000001
6.27
5.8100000000000005
3.78
9.61
5.92
4.050000000000001
5.82
7.460000000000001
4.300000000000001
6.4
6.37
10.829999999999998
8.23
9.760000000000002
7.1726
5.340000000000001
10.912
7.24
7.210000000000001
5.630000000000001
7.259599999999999
8.21
10.510000000000002
2.79
7.470000000000001
5.130000000000001
8.5874
9.274617391304348
9.51
10.0492
5.6
7.139600000000001
5.290000000000001
6.6158
4.180000000000001
5.96
9.22773043478261
3.817400000000001
5.3288
6.930000000000001
6.87
8.343
10.4946
10.170000000000002
7.73
10.07
6.85
2.8800000000000003
11.11
8.46
9.880000000000004
6.687
2.890000000000001
4.16
6.73
6.0704
5.210000000000001
5.75
5.460000000000001
5.41
10.1416
6.77
6.73
7.280000000000001
10.9494
9.9754
7.290000000000001
6.420000000000001
8.5702
7.490000000000001
6.799200000000001
10.013
10.7166
6.8698
4.964
9.74
7.219999999999999
5.94
5.640000000000001
6.730000000000001
5.280000000000001
10.076
8.088600000000001
7.760000000000001
3.8600000000000008
4.91
6.05
7.5276
9.23
4.922000000000001
10.87
5.51
9.58
14.6468
7.62
4.000000000000001
7.87
5.470000000000001
8.68
6.68
4.25
7.299
6.430000000000001
7.105400000000001
9.67
7.200000000000001
5.931800000000001
10.621
8.475
8.128400000000001
3.4800000000000004
8.73
6.8100000000000005
5.970000000000001
5.83
12.77
8.63
5.290000000000001
6.09
6.35
7.620000000000001
5.42
4.83
7.92
11.3
7.58
6.23
9.53
5.430000000000001
9.93
10.863400000000002
8.870000000000001
7.208400000000001
7.299999999999999
4.8588000000000005
8.049800000000001
9.257086956521738
7.33
4.16
4.16
7.53
7.1788
9.29
7.1000000000000005
6.050000000000001
6.470000000000001
10.7196
8.840000000000002
9.9464
9.0258
9.7102
10.04
9.67
9.7526
4.7814000000000005
7.270000000000001
8.5
10.21
6.2
11.3572
9.7566
10.909
8.6754
8.05
7.9
9.349
6.470000000000001
10.068
4.2988
10.28
6.27
5.210000000000001
10.062599999999998
5.65
6.888800000000001
10.28
7.58
6.85
4.2
4.83
7.220000000000001
6.7299999999999995
7.49
6.01
7.160000000000001
9.0706
6.42
3.71
5.180000000000001
11.4182
7.680000000000001
6.688695652173912
6.8500000000000005
6.15
5.500000000000001
8.620000000000001
10.379
8.9436
11.11
10.6814
6.1899999999999995
10.6622
9.62
10.9088
9.6
10.55
4.1012
13.21
7.06
9.91
4.17
7.290000000000001
5.240000000000001
7.800000000000001
10.3
7.630000000000001
10.86
8.41
6.95
7.73
6.540000000000001
8.8
6.920000000000001
6.08
6.8104000000000005
12.840000000000002
6.4458
7.42
8.100000000000001
9.355978260869566
4.4038
12.464800000000002
10.0594
8.11
7.925800000000001
7.3782
10.59
10.89
6.250000000000001
8.21
6.07
9.782600000000002
7.580000000000001
4.7272
6.1899999999999995
11.1688
5.077400000000001
7.1000000000000005
7.48
4.2
7.73
7.15
7.800000000000001
6.78
6.5
2.68
8.26
6.650000000000001
5.62
6.61
7.370000000000001
7.240000000000001
4.03
4.75
7.040000000000001
6.580000000000001
9.7806
6.8898
6.1899999999999995
6.18
6.170000000000001
9.784199999999998
5.780000000000001
5.810000000000001
5.880000000000001
6.6
6.160000000000001
9.97
6.54
7.0
12.81
9.330000000000002
5.300000000000001
6.0032000000000005
3.997
8.0062
5.76
4.41
10.26
3.73
3.88
9.7336
4.521400000000001
10.9164
4.430000000000001
12.26
2.19
10.000000000000002
10.69
9.749200000000002
10.0506
7.7496
6.379999999999999
10.89
5.799800000000001
7.010000000000001
4.880000000000001
7.010000000000001
6.54
6.409999999999999
10.05
10.0126
6.49
7.56
6.0966000000000005
12.4378
9.330000000000002
6.09
10.7982
8.07
8.780000000000001
6.8
12.69
10.42
14.4194
6.829999999999999
6.32
5.870000000000001
12.830000000000002
8.9482
5.42
8.8052
7.03
9.9974
4.2700000000000005
7.620000000000001
8.900000000000002
7.9396
10.55
8.571200000000001
7.6792
5.3500000000000005
10.94
11.249200000000002
4.050000000000001
10.2912
10.3814
